,Bank_Name,Bank_Type,Location,Bank_Caption,User_Name,Bank_Rating,Rating_Comment,User_Comment
10,HDFC Bank,Personal Loan, bangalore,"""Need to improve in customer service""",VIJESH  ,1.0,Bad,                              I have applied a personal loan from HDFC Bank. They have rejected my application because previously one cheque  got bounced so my loan got closed.Customer service was not good no proper response need to improve in customer service.Rate of interest was good.
11,SBI,Saving Account, hyderabad,"""Best savings account""",  HARIKESH Y,4.0,Great,"                              I have an account with SBI Bank saving account more than 2 years.They offered a platinum debit card.and the card has some yearly charges of Rs.180. To open an account with SBI Bank needs pan card, aadhar card and KYC completed by official mangers, so my account activated within 24hours. Customer service was good and i am not facing any problem."
12,HDFC Bank,Credit Card, hyderabad,"""Its a good card""",  HARIKESH,4.0,Great,"                              I have taken a HDFC business regalia credit card i am using almost from February. I am paying annual charges Rs.410 there is a no fee wavier and i applied this card directly from bank .Customer service was good. This card have many benefits like shopping, reward, cash back and also this is a travel card."
13,HDFC Bank,Personal Loan, hyderabad,"""Need to decrease the rate of interest""",YADAV  ,4.0,Great,"                              I have applied a personal loan from HDFC bank. This application has been closed, because around 5 to 6 months  my salary is not been credited in account so I am getting cash in hand, This is the reason my application got closed. Customer service was good and I have not given any documents."
14,review,Saving Account, hyderabad,"""Service is Good """,GOUTHAM  ,5.0,Blown,                              I am using Andhra Bank saving account for the past 1 year .I will be getting transaction acknowledgement through message and email alert.I have not undergone any fraudulent transaction so far on the usage .Customer service is perfect and also satisfied with the banking service as well.
15,review,Other Loan, hyderabad,"""Good Service""",  BURRAGADDA,4.0,Great,"                              I am using paytm service frequently it is mostly used for money transfer ,recharge ,shopping and for utility bill payment.There are no cash back offers and this service is help us to save time and transaction is done very quickly.Every transaction will be getting notification through message . "
16,HDFC Bank,Personal Loan, hyderabad,"""Service is Good""",  GOUTHAM,3.0,Satisfactory,                              I have applied for HDFC Bank personal loan through Online .The loan process was clearly shared and later got the update  not eligible for this loan .There was proper callback and follow up from bank end .I have got all the relevant details about  the loan process very clearly .I am satisfied with the service .
17,HDB Financial Services,Personal Loan, surat,"""Best  Service""",BALESHWAR,3.0,Satisfactory,                              I have applied HDB Financial services  personal loan directly . I have  taken this loan but  the rate of interest was very high due to my requirement availed this loan .I have submitted the required documents and there was proper follow up as well as callback. Complete details about the loan was explained by the agent.
18,HDFC Bank,Personal Loan, surat,"""Excellent Service""",BALESH,4.0,Great,                              I have applied for HDFC Bank personal loan through Online . I have not taken this loan since the rate of interest was very high .I have submitted the required documents and there was proper follow up as well as callback.Each and every detail was clearly shared by the agent .
19,Axis Bank,Saving Account, goa,"""Excellent Service""",SHRIPATI ,5.0,Blown,                              I am using Axis Bank salary account which i am using for the past 2.5 years .I will be getting message alert as well as email alert for all transactions. If there is any banking update I use to get messages from bank. If I have any query can get assistance through customer service. I am satisfied with overall banking service .
37,Axis Bank,Personal Loan, goa,"""Excellent service""",KANT ,5.0,Blown,                              I have taken personal loan through Axis Bank .The rate of interest and the processing fee was moderate .The loan amount got on time and there was no difficulties faced as well.The loan amount got on time and this was a paperless approval since have salary account on this bank  i am satisfied with the service.
38,HDFC Bank,Personal Loan, goa,"""Good Service""",SHASHI,4.0,Great,"                              I have applied HDFC Bank personal loan through online .I have not taken this loan,since documents was not submitted on time so not processed for further. The  agent shared all the relevant details about the loan process .There was proper callback and follow up as well from bank end .I am satisfied with the service so far ."
39,review,Other Loan, auraiya,"""Good Service""",ANAND,4.0,Great,                              I am using paytm service frequently for the past 4 years. Sometime I am getting cash back offers and  there was no technical issues happened so far .Each and every transaction can be done within fraction of seconds and it's very safe and secured as well. This service is becoming very popular now a days .
41,HDFC Bank,Credit Card, meerut,"""Excellent Service""",  SI,5.0,Blown,                              I have HDFC Bank Freedom card which was taken through Bank only.I am using this credit card for the past 1 year and this was a paperless approval since have salary account .This card is good to use.This card is pretty good to use and everything is good to me so far .
42,review,Other Loan, meerut,"""Excellent Service""",H,5.0,Blown,"                              I am using paytm service frequently for online shopping,credit card bill payment and for utility bill payment .There are cash back offers but sometimes .This is very easy to use and each transaction can be done very quickly.There was no technical issues faced so far on using ."
43,review,Credit Card, meerut,"""Good Service""",SANJAY  ,5.0,Blown,                              I have SBI credit card which was taken through Online .This card is good to use and the credit limit was ok .There are very useful cash back offers as well as reward points .There was proper callback and follow up from bank end .I have submitted the required documents through the agent .
44,review,Other Loan, nagpur,"""Average Service""",WAGH,3.0,Satisfactory,                              I have taken personal loan direclty through India bulls.I have taken 25000 loan amount for the tenure of 2years only.The rate of interest was very high since had requirement availed this loan.This loan is still active and completed  4 EMI so far.This service is quite average according to my experience.
45,Bajaj Finserv,Personal Loan, nagpur,"""Good Service""",ISHWAR,3.0,Satisfactory,                              I have taken personal loan directly through Bajaj Finserv.The rate of interest was very high and need to pay EMI for 1 year since rate of interest was high i will be closing this nex month itself.Each and every details about this loan was clearly shared by the agent .I am satisfied with the service so far .
46,SBI Cards,Credit Card, nagpur,"""Good Service""",PANKAJ ,5.0,Blown,"                              I have SBI credit card which was taken through Online .I have got 50,000 credit limit it was sufficient for me .This credit card is providing discounts on shopping .I have chosen this card since got the offer and using this credit card for the past 2 months only.Everything is good on this card and i am satisfied with the service so far."
47,RBL Bank,Credit Card, hyderabad,"""Best  Service""",  PASHA,5.0,Blown,                              I have Ratnakar Bank credit card which  was offered by them directly. I have got this credit on paperless approval. I am using this credit card for the past 4 to 5 years only. I have not submitted any documents . Without any delay i have got my credit card .The credit limit was satisfied and there was no drawbacks faced so far .
48,Kotak,Credit Card, hyderabad,"""Best  Service""",Pasha  ,5.0,Blown,                              I have taken kotak Mahindra Bank credit card directly through Bank.I am using this credit card for the past 4 to 5 years. Agent has shared all the relevant details about the card process.There was no difficulties faced so far on using this card .I am satisfied with the service so far.
49,SBI Cards,Credit Card, hyderabad,"""Best  Service""",YOUNUS  ,5.0,Blown,                              I have SBI credit card which was taken through Online.I am using this credit card for past 2 months. The credit limit was good and this was a chargeable card .There are cash  back offers as well as reward points which is very useful .The credit limit was very good and there are good cash back offers as well as reward points .I am satisfied with the service so far .
50,IndusInd Bank,Credit Card, hyderabad,"""Best  Service""",YOUNUS  ,5.0,Blown,                              I have INDUSIND Bank credit card which was taken through Online . I have not faced any issues so far by using this credit card . Though after paying the card bill still getting the message as need to pay the bill statement this is the issue other than that everything was good on this credit card .I am using this card for past 3 months only and this was a chargeable card.
51,review,Other Loan, jaipur,"""Excellent service""",  MEENA,5.0,Blown,"                              I am using paytm service for the past 2 years only .This service is available everywhere now a days.I am using this service for shopping ,recharge and money transfer .There are little cash back offers.Each and every transaction is safe and secure always .I have not undergone any network issue while using this service .Each and every transaction can be done on faster basis."
52,HDFC Bank,Personal Loan, jaipur,"""Best  Service""",SURESH ,5.0,Blown,                              I have applied for HDFC Bank personal loan which was taken through Online .I have not availed this loan since out of station .There was no callback and proper follow up from bank end and the agent not explained any details about the loan process and no callback and response when applied for this loan.
53,Axis Bank,Credit Card, vijayawada,"""Good Service""",THRI,4.0,Great,                              I have Axis Bank credit card which was taken through Bank directly.I am using this credit card for the past 1 year.The credit limit was very less and it was only 25000.There are good cash back offers as well as reward points and got this credit card without any hassle.
54,HDFC Bank,Personal Loan, vijayawada,"""Average Service""",THRIKAYIL ,3.0,Satisfactory,                              I have applied for HDFC Bank personal  loan through Online .I have not taken this loan since have issues with credit score .I have submitted the required documents and the agent gave a clear picture about the loan process.There was proper callback and follow up from bank end .
55,LIC,Life Insurance, surendranagar,"""Best  Service""", NATUBHA ,4.0,Great,                              I have taken Life Insurance policy through LIC agent and need to pay the premium within 6 months .I am paying the premium through the agent and the tenure is for 15 years  .The policy detail was clearly shared by the agent .This policy is still active and there was no drawbacks faced so far .I am satisfied with the service totally.
56,HDFC Bank,Personal Loan, surendranagar,"""Satisfactory""",PUNIT,4.0,Great,                              I have applied for HDFC Bank personal loan through online .I have not taken this loan since requirement was over .There was no issues with  rate of interest and the processing fee.I have not submitted any of my documents for this loan .The required update about this loan was shared by the agent .
57,IndusInd Bank,Saving Account, surat,"""Excellent Service""", ARVIND,5.0,Blown,                              I have INDUSIND Bank saving account which I am holding for more than a year. I am using net banking service as well as mobile banking service both are user friendly and  if need  any clarifications can track all the transaction details through online.Customer service is also good and getting good response. 
58,IndusInd Bank,Personal Loan, surat,"""Best  Service""",HITENDRA,3.0,Satisfactory,"                              I have taken personal loan directly through Indusind Bank.The rate of interest and the processing fee was very high. I will be closing this loan after paying one more EMI.  Since I am having saving account, this loan was a paperless approval.The agent  has shared all the relevant details about the loan process and satisfied with the service. "
59,HDFC Bank,Personal Loan, surat,"""Best  Service""",HITEN,5.0,Blown,                              I have applied for HDFC Bank personal loan through Online .I have not taken this loan since the requirement was completed .I have not submitted any documents and the agent shared all the details about the loan process very clearly .There was proper callback and follow up from bank end .
60,LIC,Life Insurance, surat,"""Good Service""",TARPARA,5.0,Blown,"                              I have taken Life Insurance policy directly through LIC agent .This is a Child  plan  policy and the tenure is for 18 years .The premium is paid on yearly basis need to pay Rs.6,500 and got the policy documents on time without any delay . I have got all the required  details about the policy very clearly through the agent. This policy is very useful for my child after 18 years it can be use for education as well as for personal use."
61,LIC,Life Insurance, surat,"""Good Service""",TARPARA,5.0,Blown,                              I have taken Life Insurance policy directly through LIC agent .This is a money back policy and the tenure is for 12 years .This premium is paid on yearly basis need to pay Rs.25000  and got the policy documents on time without any delay . I have got all the relevant details about the policy very clearly through the agent .This policy is very useful for family and i am satisfied with the service .
62,Axis Bank,Saving Account, surat,"""Good Service""",ROHI,5.0,Blown,"                              I have Axis  Bank Saving account which I am using for past 6 years. I am using net banking service as well as mobile banking service both are very comfortable  .If contact customer service for any help will get proper response .This banking service is really good and satisfied ,"
63,review,Saving Account, surat,"""Good Service""",Kumar,3.0,Satisfactory,                              I am holding Andhra Bank savings account recently. I am using net banking service as well as mobile banking service both are very user friendly. Each and every transaction will be received through online if I need any clarification can check from our end itself. I am satisfied with the service so far.
65,review,Other Loan, surat,"""Excellent Service""", DWARKA,5.0,Blown,                              I am using paytm for shopping only. I am utilizing this service for the past one year and  getting cash back offers .This service is available everywhere now a days .Each and every transaction is done very quickly and  so far not undergone any difficulties .I am satisfied with the service so far .
66,ICICI Bank,Personal Loan, surat,"""Average Service""",ROHIT,1.0,Bad,                              I have taken personal loan through ICICI Bank which was referred from my office .All the details about the loan process was clearly shared by the agent.The rate of interest and the processing fee were nominal .There was no difficulties faced while submitting the documents .This loan is still active and  according to me the service is quite average.
67,HDFC Bank,Personal Loan, surat,"""Excellent Service""",ROHIT,5.0,Blown,"                              I have applied HDFC Bank personal loan through online .I was having personal issues, suddenly my daughter was not well so busy with hospital hence not taken this loan .I have not submitted any documents .The agent has gave a clear picture about the loan process.There was proper callback and follow up from bank end .I am satisfied with the service so far."
69,Citibank,Personal Loan, gurgaon,"""Best  Service""",SHAILESH ,4.0,Great,                              I have applied for Citi Bank personal loan through Online .I have not taken this loan since availed some other loan at that time .There was proper callback and follow up when applied for this loan .The agent shared all the relevant details about the loan process.There was no difficulties faced so far.
70,Axis Bank,Saving Account, bangalore,"""Good Service""",GH ,5.0,Blown,                              I have been holding Axis Bank salary account for the past 3 years . I am using net banking service as well as mobile banking service both are very much comfortable. I am using this service for money transfer and recharge purpose are very much useful. There was no fraudulent transaction happened so far.
71,Axis Bank,Saving Account, bangalore,"""Good Service""",THAKUR,5.0,Blown,                              I am using Axis Bank saving account for the past 3 years .I am using net banking service as well as mobile banking service both are very much user friendly .I am using this service for money transfer and recharge purpose it is very much useful .If contact customer service for any assistance it is very useful and there was no difficulties faced so far.
72,HDFC Bank,Personal Loan, bangalore,"""Good Service""",HUKUM ,4.0,Great,                              I have applied for HDFC Bank personal loan through Online .I have not taken this loan since it was not approved from bank end .I have submitted the required documents and there was no difficulties faced so far.There was no callback and follow up from bank end .
73,review,Other Loan, jodhpur,"""Excellent Service""",BANWARI  ,5.0,Blown,"                              I am using paytm service frequently for money transfer ,shopping and for recharge.There are no cash back offers ,I am using this service for more than 3 to 4 years .I have not faced any technical issues so far. This service is really known to each and everyone since it is becoming famous .I am satisfied with the service so far . "
74,HDFC Bank,Personal Loan, jodhpur,"""Best  Service""",BANWARI  ,4.0,Great,                              I have applied for HDFC Bank personal loan through Online .I have not taken this loan since the rate of interest was very high .I have not submitted any of my documents through agent only uploaded documents through online .There was no callback and follow up from bank end .
75,SBI,Saving Account, hyderabad,"""Good Service""",  GANDU,5.0,Blown,                              I have state Bank Of India salary account for the past 6 years .I am using net banking service as well as mobile banking service both are very useful.I have used for money transfer .Customer service is also getting good response if contact for any assistance .Banking service is also satisfied according to me .
76,Kotak,Credit Card, hyderabad,"""Good Service""",  GANDU,5.0,Blown,"                              I have Kotak Mahindra Bank credit card which was offered by Bank.The credit limit was 36,000 and there are very good reward points as well as cash back offers .I have got this credit card on exact time frame without any hassle.There was good follow up and callback from bank end ."
77,SBI Cards,Credit Card, hyderabad,"""Good Service""",RAJAIAH  ,5.0,Blown,                              I have SBI credit card which was taken through online. I am using this credit card for the past one year. There are good cash back offers as well as reward points .The credit limit was very less and there was no difficulties faced so far.I have got all the update about the card process very  clearly but now no update.
78,Citibank,Credit Card, hyderabad,"""Excellent service""",RAJAIAH  ,5.0,Blown,"                              I have Citi Bank credit card which was taken through Online .I am using this credit card for the past 1 month .This card is good to use and the credit limit was 60,000it is really good .There was proper callback and follow up from bank end .Each and every detail was clearly shared by the agent."
79,HDFC Bank,Saving Account, pune,"""Excellent Service""",LALIT ,4.0,Great,                              I am using HDFC Bank salary account for the past 7 months .I am using net banking service as well as mobile banking service both are much comfortable .I am using this service for  recharge and money transfer .There was no fraudulent transaction happened while using this account .
80,HDFC Bank,Personal Loan, pune,"""Excellent Service""",REEMA,4.0,Great,                              I have applied for HDFC Bank personal through Online .I have not availed this loan since there was no callback and follow up from bank end hence not availed this loan.The agent gave all the relevant details about the loan process.There was no difficulties faced so far i am satisfied with the service .
81,review,Credit Card, bangalore,"""Best  Service""",Arif,4.0,Great,                              I have SBI credit card which was taken through Online.I have got this credit card recently not even a week but used once.The credit limit was sufficient and this was a chargeable one .I have not checked any cash back offers as well as reward points .I am satisfied with the service.
82,HDFC Bank,Credit Card, bangalore,"""Not Satisfied""",ARIF,1.0,Bad,                              I have applied for HDFC Bank credit card through Online .There was no proper communication from bank end that is the issue .I am  satisfied with the credit limit and using this credit card for the past 2 to 4 months .All the details about the card was shared by the agent but i am not satisfied with the service.
83,HDFC Bank,Personal Loan, bangalore,"""Good Service""",WAQAR  ,3.0,Satisfactory,                              I have applied HDFC Bank personal loan through Online. I have not taken this personal loan since no payslip with me  and it is not provided from my office .I have not submitted any documents and there was no proper callback and follow up and the loan process was clearly explained by the agent .
84,Axis Bank,Saving Account, dhule,"""Excellent Service""", SHELAR,5.0,Blown,                              I am having Axis Bank saving account which I am using for the past 5 years. I will be receiving message alert as well as email alert . Each and every transaction will be safe and there was no difficulties faced. Banking service is much comfortable and I am satisfied with the service so far. 
85,LIC,Life Insurance, dhule,"""Good Service""",GANESH ,3.0,Satisfactory,                              I have taken life insurance policy for money back policy which was taken through LIC agent.The policy tenure is for 15 years and paid the premium through the agent .The premium is paid on yearly basis  .I have received my policy documents on time without any delay.
86,HDFC Bank,Personal Loan, dhule,"""Good Service""",GANESH ,5.0,Blown,                              I have applied for HDFC Bank personal loan through Online .I have not taken this loan since since salary statement was not there .There was no proper callback as well as follow up from bank end .I have submitted documents that too id proof and Aadhaar card .There was no drawbacks faced so far when applied for this loan.
87,HDFC Bank,Personal Loan, gwalior,"""Satisfactory""",RAFEEK  ,3.0,Satisfactory,"                              I have applied for HDFC Bank personal loan  through Online .I have not taken this loan since got the amount from some other source.The process was more ,I have not submitted any of my documents .The agent shared all the details about the loan process but i am not satisfied with the service."
88,HDFC Bank,Personal Loan, mumbai,"""Not Satisfied""",AARIF,1.0,Bad,                              I have applied for HDFC Bank personal loan through Online .There was no proper callback and follow up .The rate of interest and the processing fee was okay .I have submitted the required documents. I have not availed this loan since no proper response. I am not  satisfied with the service .
89,Citibank,Personal Loan, new,"""fine service""",NISHANT ,4.0,Great,"                              I have applied CITI BANK personal loan through online but at a certain point I have changed my plan so I was not in a need of  loan amount. Hence, I denied to do the application process. I received the call from bank executive and the response was very good. "
90,ICICI Bank,Credit Card, bangalore,"""Good Service""",VENKATESH  ,4.0,Great,                              I have  ICICI Bank credit card which was taken through Bank.I am using this credit card for the past 4 months. This was a chargeable card and it is used for fuel purpose but not yet tried .There was no difficulties faced while submitting the documents .Each and every detail was clearly shared by the agent.
91,HDFC Bank,Personal Loan, bangalore,"""Good Service""",VENKATESH  ,4.0,Great,                              I have applied for HDFC Bank personal loan through Online .I have not taken this loan since no address proof at that time .The agent shared all the relevant information about the loan process.There was proper callback as well as follow up from bank end .I am satisfied with the service .
92,review,Other Loan, rajkot,"""Good Service""", TAPUBHAI ,5.0,Blown,"                              I am using Paytm service frequently for recharge,shopping and for money transfer .There was no technical issues faced .There was no cash back offers .I am using this service for the past 3 years and now a days this service is well known to everyone and i am satisfied with the service ."
93,HDFC Bank,Personal Loan, rajkot,"""Excellent Service""",HITESH ,5.0,Blown,                              I have applied for HDFC Bank personal loan through Online .I have not taken this loan since no income tax returns filed.I have submitted other documents and there was proper callback and follow up from bank end .I am satisfied with the service so far.
94,review,Other Loan, ludhiana,"""Good Service""",NG,4.0,Great,"                              I am using Paytm service for the past one month.  I am using this service occasionally for money transfer and recharge. There are cash back offers and not yet faced any technical issue. I am satisfied with the service so far, it is very easy to use and very comfortable ."
95,HDFC Bank,Personal Loan, visakhapatnam,"""good service""",LOHITHKUMAR  ,4.0,Great,                              I have a taken a personal loan from HDFC BANK around 2016. I had applied through bank executive and received the loan amount with in a week.  They have approved loan amount is 3L with 11.5% rate of interest which is normal.  Customer support is good but need to respond immediately. 
96,HDFC Bank,Personal Loan, ludhiana,"""Good Service""",KRISHNA  ,3.0,Satisfactory,                              I have applied for HDFC Bank personal loan through Online .I have not availed this loan since had cheque  bounce due to that loan was not processed .I was not having any difficulties with the rate of interest and the processing fee.I have submitted the documents but the loan was not approved .
97,HDFC Bank,Personal Loan, visakhapatnam,"""good service""",LOHITH,3.5,Pretty,                              I applied for HDFC BANK personal loan through online and submitted all the docs through online. But receiving continuous message stating pending documents. I received once the verification call and further no update. As there is a delay in application I denied to do the process. 
98,LIC,Life Insurance, raigarh,"""Good Service""", BIRANWAR,4.0,Great,                              I have taken life insurance policy directly through LIC agent This is a Money back policy and the tenure is 15 years .I am paying the premium on quarterly basis through online .The policy detail was shared by the agent very clearly and there was no difficulties faced as well. I am satisfied with the service .
99,LIC,Life Insurance, raigarh,"""Good Service""",RAMESHWAR  ,4.0,Great,                              I have taken life insurance policy directly through LIC agent .This policy is a maturity benefit policy and the tenure is for 20 years .I am paying the premium through online on quarterly  basis . The policy detail was clearly shared by the agent. I am satisfied with  the service.
100,Citibank,Personal Loan, mumbai,"""Good""",SACHIN,5.0,Blown,"                              I was applied a personal loan with CITI BANK through online. The loan amount was more sufficient of 5L with tenure period of 5 years. Rate of interest of 10.9% was nominal when compare to other. Since I got a amount from other source, hence the loan process was closed from my end. "
101,Bajaj Finserv,Personal Loan, rajahmundry,"""Quick approval loan""",YESURATNAM  GELLA,5.0,Blown,"                              I have taken a personal loan from  BAJAJ FINSERV and the loan amount was Rs. 3,00,000, and the tenure is 5 years. I am paying  EMI of Rs.9150. Customer service was good.This is a online approval i got this loan instantly. Documentation was simple i uploaded through online.Since the rate of interest was high, so I wont recommend to others."
102,SBI,Personal Loan, rajahmundry,"""Quick loan approval""",YESURATNAM  ,5.0,Blown,"                              I have taken a personal loan with SBI.  They have sanctioned the loan of 3.5L and processing fee was 11.9% as well I am paying EMI Rs. 7,500 and the tenure was 6 years. I applied this loan directly through bank. Pre closure charges is there 5% from outstanding amount."
103,HDFC Bank,Personal Loan, rajahmundry,"""Okay""", GELLA,1.0,Bad,                              I have taken a personal loan in HDFC bank and they have processed the loan in short Term after there is  no follow up from bank side. So I got an offer from other bank and they provide me a best rate of interest. Its a quick process. I got the loan on time
104,LIC,Life Insurance, pune,"""Good""",BANO  SAYRA,3.5,Pretty,"                               I am paying monthly premium of Rs.30,000. I have taken the life insurance policy from LIC . The first thing is its a Nationalized policy and even I like the policy benefits.The agent is very supportive and providing proper guidance.This is a money back policy and the term is 12 years, after 12 years i am getting some returns.This is a 15 years policy."
106,Citibank,Personal Loan, pune,"""Good""",BANO  SAYRA,4.0,Great,"                              I have applied a personal loan from CITI BANK . I was waiting for that loan, I contacted they said they will get back, but not yet contacted . I got a loan offer from other bank i got immediate approval so i request to close from this bank. Customer service was good."
107,HDFC Bank,Credit Card, hospet,"""Very Good Card""",MADHU ,4.0,Great,"                              HDFC bank has given the credit card based on my salary account. I got the limit of around Rs. 79000. There is no annual fee deducted so far. I get 10% of cash back on  online purchase but I haven't used it. On a regular basis, they are sending offer messages and mails. "
108,HDFC Bank,Personal Loan, hospet,"""Good Loan Service""",MA,3.5,Pretty,"                              Actually my salary account with HDFC bank because of this reason, I have chosen this bank. I had applied the loan amount of Rs. 5L  and they haven't told me about the interest rate. From the bank end, they have rejected my loan because of my existing loan which I had done late payment of EMI on last 3 month, so they are not ready to provide this loan. "
109,SBI Cards,Credit Card, hindupur,"""Excellent""", SRINIVASULU,5.0,Blown,"                              I am using SBI SIMPLY CLICK credit card more than 6 years. Credit limit was sufficient. This can be use for shopping, groceries, restaurant, and i am getting reward points also. This was a free card and also customer service was good. I am getting credit card statement via Email."
110,review,Saving Account, tirupur,"""Need to improve a lot""",J V ,1.0,Bad,"                              I am holding a salary account from Vijaya bank for last 4 years. For my emergency purpose also, they have not provided me any personal loan. Every 3 months once, they will change their branch manager. Process is very slow. The service is not up to the mark. I have tried their net banking, user interface is slow."
111,HDFC Bank,Saving Account, tirupur,"""Good Account""",VENGATESAN,4.0,Great,"                              I'm maintaining a savings account in HDFC bank. Its because of the brand value, I have chosen this bank. I need to hold a balance of Rs. 5,000. Whenever i do the transaction, I'm receiving the notification immediately. They are not deducting any kind of hidden charges. I have visited their branch to open the account and they took 5 days to send the cheque book and debit card to my address."
112,New India,Two Wheeler, tirupur,"""No claim experience""", VENGATESAN,5.0,Blown,"                              For Apache bike, I have purchased the two wheeler insurance from New India. Till now I have not applied any claim. I have paid the premium amount of Rs. 1500 and this is a third party insurance cover policy. My friend is working as a agent hence he used to give me a reminder hence I renew the policy. "
113,HDFC Bank,Credit Card, tirupur,"""Situation based card""",JEYARAMAN,5.0,Blown,"                              HDFC bank has offered a credit card. Since I hold a saving account with them I got this offer. They have sent to my residential address within 5 days. I haven't used my credit card till now. They have provided me a limit of Rs. 25,000. Its a life time free credit card."
115,HDFC Bank,Saving Account, kochi,"""Good""",JO,4.0,Great,                              I have been holding a savings account with HDFC bank for more than one year. In this account need to maintain a minimum balance of 3K but there is no any hidden charges are applicable. I am using mobile app and net banking both are user friendly. Each and every transaction is safe and secured.  
116,SBI,Saving Account, kochi,"""Need to decrease hidden charges""",JOHN,4.0,Great,                              I am holding salary account with SBI for the past 6 years. There is some hidden charges are applicable and need to maintain a minimum balance of 2K. ATM and branches are near and their services are good.  I get alert messages on time whenever I do a transaction.
117,HDFC Bank,Credit Card, pune,"""Best  Service""",GARAD,4.0,Great,                              I have HDFC Bank credit card which was offered by bank.I am using this credit card almost 6 years .This was a money back card with lesser credit limit .There are good cash back offers as well as reward points. I can purchase any products and  can pay later that is the good facility on this card. 
118,review,Other Loan, kochi,"""Good app""",SIB,4.0,Great,"                              I am using Paytm for more than a year. KYC process was done on time. Mobile app is very user friendly. It is convenient to use for many purposes like recharge, fuel, shopping,to book movie tickets and bill payment.  I have done money transfer and charges are nominal. I use to get cash back for the transactions."
119,HDFC Bank,Personal Loan, hindupur,"""Quick approval loan""", RAMALINGAPPA ,4.0,Great,"                              I have taken a personal loan from HDFC BANK. The loan amount was Rs.5,00,000 and the tenure is 5 years. I am paying emi Rs. 7000 every month.I applied this loan directly from bank.I received this loan within 3 days. Customer service and response was good."
120,andhra Bank,Two Wheeler, vijayawada,"""Excellent service""", KUMAR,5.0,Blown,"                              I have a two wheeler loan with ANDHRA BANK. I bought Honda activa its been almost two years. The on road price is Rs.67K in which 17000 I made a down payment. Before the payment is auto debited I pay it. I asked for the tenure of 3 years but they provided 5 years and the monthly EMI is Rs.1,100. 
"
121,HDFC Bank,Credit Card, vijayawada,"""good service""",KUMAR ,3.0,Satisfactory,"                              I am using HDFC platinum money back credit card for past 3 years. Credit limit is Rs.25,000 which is not been enhanced. The annual fee charges is Rs.1000.  Interest rate is around 14 to 15% which is very high. Cannot connect to customer support executive even I try n umber of times. 
"
